back,num
军人,15
财政学,1
行政管理,1
中国文学,1
南空政治部副主任,1
工学博士,9
法学博士,9
政治经济学,3
工学硕士,8
文学硕士,1
经济学硕士,9
经济管理,5
哲学学士,3
工商管理硕士,6
经济学博士,16
信息论专业,1
法学硕士,11
山东省委党校,1
研究生学历,1
电子技术,1
中央党校大学学历,1
医学博士,2
轻工二系硅酸盐专业,1
吉林大学,1
建筑工程系工业与民用建筑专业,1
中国科学院院士,1
中文,2
北京大学,2
历史学学士,1
军事学硕士,5
经济学、公共管理硕士,1
管理科学与工程专业硕士、技术经济学博士,1
党的十九大代表。,1
物理博士,1
经济管理专业,2
研究生,1
中央党校研究生,4
管理学博士,9
文学学士,1
在职博士研究生学历,1
国防大学国防研究班学习,1
在职研究生,2
清华大学,1
中央党校研究生学历,5
工学硕士学位,1
大学学历,2
战略学专业毕业,1
法学学士、经济学博士学位,1
马克思主义理论与思想政治教育专业毕业,1
理学博士,1
加州大学伯克利分校,1
工学博士、中国科学院院士,1
历史学博士,1
教授级高级工程师,1
工学学士学位,1
合同战役指挥专业,1
工学学士,2
哲学,1
北京航空航天大学,1
中国人民大学,1
管理学硕士,1
法学,4
电子工程,1
国务院振兴东北地区等老工业基地领导小组成员,1
国务院中央军委专门委员会委员,2
北京师范大学,1
内燃机,1
管理工程,1
自动控制系自动化,1
挪威语,1
政治学,1
社会主义专业,1
西藏军区副参谋长；,1
工程硕士,1
物理学博士,1
马克思主义哲学,1
天津大学,1
高级工商管理硕士,1
法学学士,1
法学理论,1
中国农业科学,1
文哲史,1
水工专业,1
经济学,1
